,file,Silence,Baby laughter,"Baby cry, infant cry"
0,v12_s-1,0.1484375,0.0,0.0
1,v12_s-10,0.109375,0.0,0.0
2,v12_s-11,0.109375,0.0,0.0
3,v12_s-12,0.109375,0.0,0.0
4,v12_s-13,0.109375,0.0,0.0
5,v12_s-14,0.109375,0.0,0.0
6,v12_s-15,0.109375,0.0,0.0
7,v12_s-16,0.109375,0.0,0.0
8,v12_s-17,0.1484375,0.0,0.0
9,v12_s-18,0.109375,0.0,0.0
10,v12_s-19,0.109375,0.0,0.0
11,v12_s-2,0.109375,0.0,0.0
12,v12_s-20,0.109375,0.0,0.0
13,v12_s-21,0.109375,0.0,0.0
14,v12_s-3,0.109375,0.0,0.0
15,v12_s-4,0.08203125,0.0,0.0
16,v12_s-5,0.109375,0.0,0.0
17,v12_s-6,0.109375,0.0,0.0
18,v12_s-7,0.1484375,0.0,0.0
19,v12_s-8,0.1484375,0.0,0.0
20,v12_s-9,0.1484375,0.0,0.0
21,v15_s-1,0.4140625,0.0,0.0
22,v15_s-10,0.26171875,0.0,0.00390625
23,v15_s-11,0.33203125,0.0,0.0
24,v15_s-12,0.26171875,0.0,0.0
25,v15_s-13,0.5,0.0,0.0
26,v15_s-14,0.19921875,0.0,0.0
27,v15_s-15,0.1484375,0.0,0.0
28,v15_s-16,0.1484375,0.0,0.0
29,v15_s-17,0.1484375,0.0,0.0
30,v15_s-18,0.1484375,0.0,0.0
31,v15_s-2,0.33203125,0.0,0.0
32,v15_s-3,0.1484375,0.0,0.0
33,v15_s-4,0.4140625,0.0,0.0
34,v15_s-5,0.1484375,0.0,0.0
35,v15_s-6,0.26171875,0.0,0.0
36,v15_s-7,0.33203125,0.0,0.0
37,v15_s-8,0.4140625,0.0,0.0
38,v15_s-9,0.26171875,0.0,0.0
39,v16_ns-1,0.26171875,0.0,0.0
40,v16_ns-10,0.19921875,0.0,0.0
41,v16_ns-11,0.1484375,0.0,0.0
42,v16_ns-12,0.19921875,0.0,0.0
43,v16_ns-2,0.19921875,0.0,0.0
44,v16_ns-3,0.1484375,0.0,0.0
45,v16_ns-4,0.1484375,0.0,0.0
46,v16_ns-5,0.19921875,0.0,0.0
47,v16_ns-6,0.1484375,0.0,0.0
48,v16_ns-7,0.1484375,0.0,0.0
49,v16_ns-8,0.1484375,0.0,0.0
50,v16_ns-9,0.1484375,0.0,0.0
51,v17_s1-1,0.19921875,0.0,0.0
52,v17_s2-1,0.109375,0.0,0.0
53,v17_s2-2,0.109375,0.0,0.0
54,v17_s2-3,0.109375,0.0,0.0
55,v17_s3-1,0.1484375,0.0,0.0
56,v17_s3-2,0.109375,0.0,0.0
57,v17_s3-3,0.109375,0.0,0.0
58,v17_s4-1,0.1484375,0.0,0.0
59,v17_s4-2,0.109375,0.0,0.0
60,v17_s4-3,0.1484375,0.0,0.0
61,v17_s4-4,0.1484375,0.0,0.0
62,v17_s4-5,0.1484375,0.0,0.0
63,v18_ns-1,0.19921875,0.0,0.0
64,v18_ns-2,0.109375,0.0,0.0
65,v18_ns-3,0.1484375,0.0,0.0
66,v18_ns-4,0.109375,0.0,0.0
67,v3_ns-1,0.1484375,0.0,0.0
68,v3_ns-10,0.109375,0.0,0.0
69,v3_ns-11,0.1484375,0.0,0.0
70,v3_ns-2,0.109375,0.0,0.0
71,v3_ns-3,0.1484375,0.0,0.0
72,v3_ns-4,0.1484375,0.0,0.0
73,v3_ns-5,0.19921875,0.0,0.0
74,v3_ns-6,0.1484375,0.0,0.0
75,v3_ns-7,0.1484375,0.0,0.0
76,v3_ns-8,0.109375,0.0,0.0
77,v3_ns-9,0.1484375,0.0,0.0
78,v46_s-1,0.80078125,0.0,0.0
79,v46_s-2,0.80078125,0.0,0.0
80,v46_s-3,0.80078125,0.0,0.0
81,v46_s-4,0.80078125,0.0,0.0
82,v46_s-5,0.80078125,0.0,0.0
83,v46_s-6,0.80078125,0.0,0.0
84,v46_s-7,0.80078125,0.0,0.0
85,v53_s-1,0.1484375,0.0,0.0
86,v53_s-2,0.109375,0.0,0.0
87,v53_s-3,0.19921875,0.0,0.0
88,v53_s-4,0.1484375,0.0,0.0
89,v53_s-5,0.1484375,0.0,0.0
90,v53_s-6,0.1484375,0.0,0.0
91,v56_ns-1,0.80078125,0.0,0.0
92,v56_ns-10,0.80078125,0.0,0.0
93,v56_ns-11,0.80078125,0.0,0.0
94,v56_ns-12,0.80078125,0.0,0.0
95,v56_ns-13,0.80078125,0.0,0.0
96,v56_ns-14,0.80078125,0.0,0.0
97,v56_ns-15,0.80078125,0.0,0.0
98,v56_ns-16,0.80078125,0.0,0.0
99,v56_ns-17,0.80078125,0.0,0.0
100,v56_ns-2,0.80078125,0.0,0.0
