iter	Logloss
0	0.6855720111
1	0.6760184424
2	0.6666172573
3	0.6547794342
4	0.6454360144
5	0.6360514505
6	0.62633855
7	0.6167199271
8	0.608436857
9	0.5999712263
10	0.5925047057
11	0.5833884648
12	0.5758359092
13	0.5682031087
14	0.5607022217
15	0.5532641751
16	0.5456374373
17	0.539587089
18	0.5336716175
19	0.5280757632
20	0.5223335539
21	0.5168654237
22	0.5116716794
23	0.5057301521
24	0.5003293582
25	0.4962780135
26	0.4906952041
27	0.4851487705
28	0.4812575068
29	0.4755135604
30	0.4710200174
31	0.4663149289
32	0.4608466285
33	0.4561800276
34	0.4517774923
35	0.4468898092
36	0.441778217
37	0.4375049387
38	0.4347082547
39	0.4310509818
40	0.4266405106
41	0.4228457042
42	0.4186791011
43	0.4146611009
44	0.4106676238
45	0.4067512921
46	0.4036967754
47	0.3992620877
48	0.3965414592
49	0.3926380021
50	0.3892490183
51	0.3858316285
52	0.3828732286
53	0.3793188504
54	0.3770002978
55	0.3750790868
56	0.3725956508
57	0.3700429371
58	0.3674245221
59	0.3639989921
60	0.3611636162
61	0.3584616184
62	0.3557958262
63	0.3533182825
64	0.3507643427
65	0.3480051926
66	0.3456989697
67	0.3434150219
68	0.3414786203
69	0.3391254289
70	0.3371388231
71	0.3350013665
72	0.3328833239
73	0.3309083666
74	0.3290280274
75	0.3272264344
76	0.3250862871
77	0.3230440957
78	0.3205060278
79	0.3182540621
80	0.3167091097
81	0.3148417473
82	0.3134070805
83	0.3114602906
84	0.3095139776
85	0.3079779489
86	0.3063966206
87	0.3049371583
88	0.3031901291
89	0.3014597212
90	0.3004548209
91	0.2990443025
92	0.2977380412
93	0.29577228
94	0.2941255229
95	0.2925919124
96	0.290586131
97	0.2885981287
98	0.2879283088
99	0.2865690504
100	0.2848963056
101	0.2838021517
102	0.2828038761
103	0.2814614092
104	0.2803082126
105	0.2793990544
106	0.2783356394
107	0.2774948733
108	0.276116848
109	0.2744222709
110	0.2734643221
111	0.2722809144
112	0.2711091723
113	0.2703216587
114	0.2692006316
115	0.2678974526
116	0.2669701236
117	0.2659543242
118	0.2643533945
119	0.2632151331
120	0.26239654
121	0.2615468502
122	0.2603709187
123	0.259663105
124	0.2582707235
125	0.2569490501
126	0.2560344424
127	0.2552815335
128	0.2543798004
129	0.2536945343
130	0.2527535473
131	0.2516513893
132	0.2509359462
133	0.2498466628
134	0.2486403329
135	0.2480314459
136	0.2471471344
137	0.2466016838
138	0.2456336873
139	0.2450731822
140	0.2438053063
141	0.2432871716
142	0.242375493
143	0.2415572235
144	0.2407357352
145	0.2393988201
146	0.2388039487
147	0.2381038155
148	0.2373284272
149	0.2365665095
150	0.2359437091
151	0.2347169263
152	0.2342063359
153	0.2337365832
154	0.233119045
155	0.2325549466
156	0.2317443575
157	0.2312226977
158	0.2305328165
159	0.2296342169
160	0.2289055075
161	0.2279867274
162	0.2276113374
163	0.226581301
164	0.2260005474
165	0.2250615358
166	0.2241931302
167	0.2234907661
168	0.2228051424
169	0.2222877911
170	0.2217926979
171	0.2213726725
172	0.2206642968
173	0.2202261857
174	0.2195120709
175	0.218885575
176	0.2184308938
177	0.2176488468
178	0.217183607
179	0.2166922603
180	0.2165452923
181	0.2157933201
182	0.2150345019
183	0.2147796835
184	0.2146472931
185	0.2139751571
186	0.2134793145
187	0.2127485275
188	0.212319323
189	0.211940561
190	0.2114587852
191	0.2107965265
192	0.2105276244
193	0.2102043969
194	0.2098305055
195	0.2090214661
196	0.2087471826
197	0.2084568909
198	0.2082800184
199	0.2079205513
200	0.2075912612
201	0.2067706926
202	0.206545932
203	0.2062097618
204	0.2056239673
205	0.2051525286
206	0.204717602
207	0.2044749771
208	0.2041395732
209	0.2037294592
210	0.2034092971
211	0.2028361729
212	0.2024556058
213	0.202039957
214	0.201467514
215	0.2010646888
216	0.2007723706
217	0.2002083915
218	0.1999852828
219	0.1997154781
220	0.1994104896
221	0.1989907537
222	0.1986011437
223	0.1981716326
224	0.1977631875
225	0.1974879674
226	0.197218929
227	0.1968462637
228	0.1962338686
229	0.1958573886
230	0.1954778944
231	0.1950689384
232	0.194738899
233	0.1943842684
234	0.1938499042
235	0.1936204093
236	0.1934700183
237	0.1931614024
238	0.192770413
239	0.1923236677
240	0.1921041012
241	0.1915417228
242	0.1910620587
243	0.1908675603
244	0.1906340803
245	0.1901965993
246	0.1898449489
247	0.1894756215
248	0.1891149453
249	0.1885371208
250	0.1883898633
251	0.1878137078
252	0.1875978197
253	0.1874073403
254	0.1870402949
255	0.1867354768
256	0.1866428511
257	0.1863308464
258	0.1860743591
259	0.1857051168
260	0.1852337463
261	0.1849669559
262	0.1847120523
263	0.1843137571
264	0.1837671655
265	0.1836898157
266	0.1833703859
267	0.1826632874
268	0.1825924601
269	0.1821762494
270	0.1816061224
271	0.1811889751
272	0.1808264937
273	0.1804598229
274	0.1800608635
275	0.1797567436
276	0.179555927
277	0.1792970725
278	0.1790633712
279	0.1785347121
280	0.1784170525
281	0.1783158609
282	0.1780290774
283	0.1777774436
284	0.1775825364
285	0.1772235291
286	0.1770355701
287	0.1768740586
288	0.1764463867
289	0.1763997589
290	0.1762484142
291	0.1760382312
292	0.1758591107
293	0.1756277936
294	0.1753080232
295	0.175029959
296	0.1746165582
297	0.1742447615
298	0.1740828582
299	0.1738152163
300	0.1737259456
301	0.17352111
302	0.1733351776
303	0.1729708399
304	0.1724675213
305	0.1719420808
306	0.1716422013
307	0.1714491163
308	0.1710334505
309	0.1707413537
310	0.1705211742
311	0.1701629332
312	0.1698701552
313	0.1697517974
314	0.1694346837
315	0.169050949
316	0.1687302419
317	0.1684424196
318	0.1679737568
319	0.1676732813
320	0.1674824953
321	0.167326825
322	0.1671470233
323	0.1670343024
324	0.1668892418
325	0.1667746305
326	0.1662564618
327	0.1661224365
328	0.1656772069
329	0.1654873575
330	0.165201085
331	0.1650100946
332	0.1648386036
333	0.1647818429
334	0.1644831044
335	0.1641839913
336	0.1640113422
337	0.1638724123
338	0.163644995
339	0.1634380988
340	0.1632135085
341	0.1628237622
342	0.1627058131
343	0.1624416283
344	0.1621540274
345	0.1620817866
346	0.1617745672
347	0.1615329811
348	0.161006672
349	0.1609579154
350	0.1606474263
351	0.1603872435
352	0.1602822372
353	0.160109554
354	0.1597854069
355	0.1594135421
356	0.1591444526
357	0.1590491533
358	0.1587540592
359	0.1586940289
360	0.1584935529
361	0.1582816328
362	0.1579542841
363	0.1576436588
364	0.1575101444
365	0.1572344303
366	0.156911288
367	0.1567781653
368	0.1566877365
369	0.1565415008
370	0.1562759536
371	0.1559668098
372	0.1556610039
373	0.1554763317
374	0.1550610236
375	0.154886961
376	0.1545601572
377	0.1544490371
378	0.1541726589
379	0.1538030079
380	0.1535452264
381	0.1532259669
382	0.1530527387
383	0.1528205872
384	0.1527769906
385	0.1525250162
386	0.1522636073
387	0.1521801097
388	0.152113659
389	0.1517215116
390	0.1516277279
391	0.1513551474
392	0.1511938402
393	0.1508970601
394	0.1507754837
395	0.1503436225
396	0.1499840532
397	0.1497673648
398	0.1493962833
399	0.1489738737
400	0.1489502532
401	0.1486457586
402	0.1484192099
403	0.1483586005
404	0.1482658046
405	0.1480832441
406	0.1479989801
407	0.1479721069
408	0.1478921516
409	0.1478195361
410	0.1476283414
411	0.1473213094
412	0.1472336224
413	0.1470139708
414	0.1469536509
415	0.1466681106
416	0.1464716877
417	0.1461905071
418	0.1460416317
419	0.1459513392
420	0.1458450386
421	0.1456402711
422	0.1453570809
423	0.1452845335
424	0.1450046131
425	0.1447364943
426	0.1442553146
427	0.1441200631
428	0.1437432085
429	0.1432782241
430	0.1429231337
431	0.1427893298
432	0.1426448822
433	0.1425414426
434	0.1425209556
435	0.1422610709
436	0.1420208641
437	0.1416962402
438	0.1416190352
439	0.1413789306
440	0.141076701
441	0.1407374654
442	0.1404855422
443	0.1400962046
444	0.1400553158
445	0.1399280855
446	0.1396875722
447	0.139419462
448	0.139188213
449	0.1388832331
450	0.138783523
451	0.1386081151
452	0.1385081155
453	0.1384226084
454	0.1382781012
455	0.1382162401
456	0.138035059
457	0.137864777
